iter,n,runtime,solver
50,10,0.000301518,emosqp
25,10,0.000135605,emosqp
25,10,0.000144231,emosqp
25,10,0.00015237,emosqp
25,10,0.000166093,emosqp
25,10,0.000147148,emosqp
25,10,0.000164863,emosqp
25,10,0.000141188,emosqp
25,10,0.000282531,emosqp
25,10,0.000213446,emosqp
25,10,0.000128628,emosqp
25,10,0.000124219,emosqp
25,10,0.000125121,emosqp
25,10,0.000135121,emosqp
25,10,0.000133854,emosqp
25,10,0.000138243,emosqp
25,10,0.000117047,emosqp
25,10,0.000107408,emosqp
25,10,0.000112968,emosqp
25,10,0.00011108,emosqp
25,10,0.000107973,emosqp
50,20,0.000707252,emosqp
25,20,0.00033422,emosqp
25,20,0.000331756,emosqp
25,20,0.000345512,emosqp
25,20,0.000345986,emosqp
25,20,0.000333951,emosqp
25,20,0.000336072,emosqp
25,20,0.000325325,emosqp
25,20,0.000320717,emosqp
25,20,0.000327981,emosqp
25,20,0.000327799,emosqp
25,20,0.00035529,emosqp
25,20,0.000332747,emosqp
25,20,0.000341153,emosqp
25,20,0.000300612,emosqp
25,20,0.000315744,emosqp
25,20,0.000318614,emosqp
25,20,0.000299855,emosqp
25,20,0.002768333,emosqp
25,20,0.000334394,emosqp
25,20,0.000338779,emosqp
50,30,0.001252792,emosqp
25,30,0.000596988,emosqp
25,30,0.000643495,emosqp
25,30,0.000618298,emosqp
25,30,0.000863467,emosqp
25,30,0.000582702,emosqp
25,30,0.000595166,emosqp
25,30,0.00058529,emosqp
25,30,0.000586287,emosqp
25,30,0.000625965,emosqp
25,30,0.000668254,emosqp
25,30,0.000598641,emosqp
25,30,0.000594332,emosqp
25,30,0.00061574,emosqp
25,30,0.000840777,emosqp
25,30,0.000966678,emosqp
25,30,0.004838241,emosqp
25,30,0.000552013,emosqp
25,30,0.000636257,emosqp
25,30,0.000731669,emosqp
25,30,0.000621268,emosqp
50,50,0.004274555,emosqp
25,50,0.001441417,emosqp
25,50,0.008054573,emosqp
25,50,0.002131482,emosqp
25,50,0.001751641,emosqp
25,50,0.001596745,emosqp
25,50,0.00150002,emosqp
25,50,0.001572827,emosqp
25,50,0.001514687,emosqp
25,50,0.001342935,emosqp
25,50,0.001900604,emosqp
25,50,0.001463136,emosqp
25,50,0.0050952,emosqp
25,50,0.001356451,emosqp
25,50,0.001438765,emosqp
25,50,0.001379848,emosqp
25,50,0.001394689,emosqp
25,50,0.016688038,emosqp
25,50,0.001391897,emosqp
25,50,0.001371373,emosqp
25,50,0.001493506,emosqp
125,80,0.015466995,emosqp
25,80,0.002528695,emosqp
25,80,0.002103687,emosqp
50,80,0.005812787,emosqp
25,80,0.003754869,emosqp
25,80,0.00591675,emosqp
25,80,0.00321563,emosqp
25,80,0.005149202,emosqp
25,80,0.005196583,emosqp
25,80,0.007494046,emosqp
25,80,0.00377031,emosqp
25,80,0.004096636,emosqp
25,80,0.00324655,emosqp
25,80,0.003278403,emosqp
25,80,0.002093091,emosqp
25,80,0.002075982,emosqp
25,80,0.002250923,emosqp
25,80,0.003122385,emosqp
25,80,0.002068766,emosqp
25,80,0.002132402,emosqp
25,80,0.003435864,emosqp
50,100,0.010228196,emosqp
25,100,0.004544251,emosqp
25,100,0.004870595,emosqp
25,100,0.004872991,emosqp
25,100,0.00473821,emosqp
25,100,0.00467733,emosqp
25,100,0.009176551,emosqp
25,100,0.008323051,emosqp
25,100,0.0058663,emosqp
25,100,0.005682074,emosqp
