iter,n,runtime,solver
14,50,0.0,gurobi
14,50,0.0,gurobi
13,50,0.0,gurobi
13,50,0.0,gurobi
13,50,0.0,gurobi
13,50,0.0,gurobi
10,50,0.0,gurobi
10,50,0.0,gurobi
10,50,0.0,gurobi
10,50,0.0,gurobi
10,50,0.0,gurobi
14,80,0.0,gurobi
14,80,0.0,gurobi
13,80,0.0,gurobi
13,80,0.0,gurobi
13,80,0.0,gurobi
12,80,0.0,gurobi
10,80,0.0156097412109,gurobi
10,80,0.0,gurobi
10,80,0.0,gurobi
10,80,0.0,gurobi
10,80,0.0,gurobi
15,100,0.0,gurobi
14,100,0.0,gurobi
15,100,0.0,gurobi
14,100,0.0,gurobi
16,100,0.0,gurobi
14,100,0.0,gurobi
13,100,0.0,gurobi
12,100,0.0,gurobi
12,100,0.0,gurobi
13,100,0.0,gurobi
11,100,0.0,gurobi
14,120,0.0,gurobi
14,120,0.0,gurobi
12,120,0.0,gurobi
13,120,0.0,gurobi
13,120,0.0,gurobi
12,120,0.0,gurobi
14,120,0.0,gurobi
11,120,0.0,gurobi
11,120,0.0,gurobi
12,120,0.0156078338623,gurobi
11,120,0.0156383514404,gurobi
13,150,0.0,gurobi
13,150,0.0,gurobi
13,150,0.0,gurobi
14,150,0.0,gurobi
15,150,0.0,gurobi
14,150,0.0,gurobi
13,150,0.0,gurobi
13,150,0.0,gurobi
13,150,0.0,gurobi
12,150,0.0,gurobi
10,150,0.0,gurobi
16,200,0.0,gurobi
14,200,0.0,gurobi
16,200,0.0,gurobi
15,200,0.0,gurobi
16,200,0.0,gurobi
15,200,0.0,gurobi
14,200,0.0,gurobi
14,200,0.0,gurobi
13,200,0.0156078338623,gurobi
12,200,0.0,gurobi
12,200,0.0,gurobi
13,250,0.0,gurobi
14,250,0.0,gurobi
13,250,0.015625,gurobi
13,250,0.0,gurobi
14,250,0.0,gurobi
13,250,0.0,gurobi
12,250,0.0156269073486,gurobi
12,250,0.0,gurobi
13,250,0.0,gurobi
11,250,0.0,gurobi
13,250,0.0,gurobi
14,300,0.0,gurobi
14,300,0.0,gurobi
13,300,0.0156078338623,gurobi
14,300,0.0,gurobi
13,300,0.0,gurobi
13,300,0.0156230926514,gurobi
12,300,0.015625,gurobi
11,300,0.015625,gurobi
12,300,0.0,gurobi
12,300,0.0,gurobi
10,300,0.0,gurobi
14,400,0.0,gurobi
13,400,0.0156192779541,gurobi
14,400,0.0156211853027,gurobi
14,400,0.0156211853027,gurobi
14,400,0.0156211853027,gurobi
14,400,0.015625,gurobi
12,400,0.0,gurobi
12,400,0.0,gurobi
11,400,0.0,gurobi
12,400,0.0,gurobi
11,400,0.0,gurobi
14,500,0.015625,gurobi
13,500,0.0312519073486,gurobi
13,500,0.015625,gurobi
13,500,0.015625,gurobi
14,500,0.0312480926514,gurobi
14,500,0.0156230926514,gurobi
12,500,0.0156230926514,gurobi
11,500,0.015625,gurobi
12,500,0.0156230926514,gurobi
11,500,0.0156269073486,gurobi
11,500,0.0,gurobi
